nVehicles,nRsu,simTime,intervalMs,payloadSize,cryptoDelayUsTx,cryptoDelayUsRx,maliciousRate,enableReplayAttack,replayEveryMs,blockIntervalMs,mineDelayMs,txData,rxData,replayDrops,sigDrops,pdr,avgDelay_s,throughput_bps,reportsSent,reportsRxAtRsu,blocks,reportsCommitted,avgBlockLatency_s,avgLedgerTrust,handoverCount,avgHandoverDelay_s,fastAuthCount,fullAuthCount,rejectCount,trustFastThresh,trustMinThresh,fastAuthDelayMs,fullAuthDelayMs,file,cryptoDelayUs
10,2,20,100,64,0,0,0.2,1,300,1000,50,259,1594,644,440,6.15444,0.000955742,56746.4,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_c0.csv,0.0
10,2,20,100,64,0,0,0.2,1,300,1000,50,259,1594,644,440,6.15444,0.000955742,56746.4,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_crypto_0.csv,0.0
10,2,20,100,64,0,0,0.2,1,300,1000,50,259,1594,644,440,6.15444,0.000955742,56746.4,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_crypto_d0.csv,0.0
10,2,20,100,64,0,0,0.2,1,300,1000,50,259,1594,644,440,6.15444,0.000955742,56746.4,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,master_summary.csv,0.0
10,2,20,100,64,50,50,0.2,1,300,1000,50,259,1594,644,440,6.15444,0.00105135,56746.4,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_c50.csv,50.0
10,2,20,100,64,50,50,0.2,1,300,1000,50,259,1594,644,440,6.15444,0.00105135,56746.4,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_crypto_d50.csv,50.0
10,2,20,100,64,100,100,0.2,1,300,1000,50,259,1594,644,440,6.15444,0.00114696,56746.4,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_c100.csv,100.0
10,2,20,100,64,100,100,0.2,1,300,1000,50,259,1594,644,440,6.15444,0.00114696,56746.4,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_crypto_d100.csv,100.0
10,2,20,100,64,200,200,0.2,1,300,1000,50,259,1594,644,440,6.15444,0.00133818,56746.4,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_c200.csv,200.0
10,2,20,100,64,200,200,0.2,1,300,1000,50,259,1594,644,440,6.15444,0.00133818,56746.4,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_crypto_d200.csv,200.0
10,2,20,100,64,400,400,0.2,1,300,1000,50,259,1581,649,440,6.10425,0.00229239,56283.6,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_c400.csv,400.0
10,2,20,100,64,400,400,0.2,1,300,1000,50,259,1581,649,440,6.10425,0.00229239,56283.6,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_crypto_d400.csv,400.0
10,2,20,100,64,800,800,0.2,1,300,1000,50,259,1597,663,440,6.16602,0.00213219,56853.2,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_c800.csv,800.0
10,2,20,100,64,800,800,0.2,1,300,1000,50,259,1597,663,440,6.16602,0.00213219,56853.2,190,131,19,124,0.05,0.462,24,0.0741667,11,13,0,0.7,0.3,20,120,bc_ho_crypto_d800.csv,800.0
